name,kind,access,location,decl_file,call_hits
detectConflict(existing:proposed:),function.method.static,public,Sonora/Core/Concurrency/OperationType.swift:188:24,Sonora/Core/Concurrency/OperationType.swift,1
LoggingSettings,struct,internal,Sonora/Core/Configuration/Environment+Resolvers.swift:5:8,Sonora/Core/Configuration/Environment+Resolvers.swift,1
FeatureToggles,struct,internal,Sonora/Core/Configuration/Environment+Resolvers.swift:49:8,Sonora/Core/Configuration/Environment+Resolvers.swift,1
DevToolsOptions,struct,internal,Sonora/Core/Configuration/Environment+Resolvers.swift:105:8,Sonora/Core/Configuration/Environment+Resolvers.swift,1
mapError(_:),function.method.static,public,Sonora/Core/Errors/ErrorMapping.swift:11:24,Sonora/Core/Errors/ErrorMapping.swift,29
mapHTTPStatusCode(_:data:),function.method.static,public,Sonora/Core/Errors/ErrorMapping.swift:315:24,Sonora/Core/Errors/ErrorMapping.swift,0
mapAVFoundationError(_:),function.method.static,public,Sonora/Core/Errors/ErrorMapping.swift:347:24,Sonora/Core/Errors/ErrorMapping.swift,0
mapNetworkError(_:),function.method.static,public,Sonora/Core/Errors/ErrorMapping.swift:395:24,Sonora/Core/Errors/ErrorMapping.swift,0
mapCoreDataError(_:),function.method.static,public,Sonora/Core/Errors/ErrorMapping.swift:403:24,Sonora/Core/Errors/ErrorMapping.swift,0
ReportingTranscriptionService,class,internal,Sonora/Core/Services/ReportingTranscriptionService.swift:8:13,Sonora/Core/Services/ReportingTranscriptionService.swift,0
BrandThemeModifier,struct,internal,Sonora/Core/UI/State/BrandThemeManager.swift:263:8,Sonora/Core/UI/State/BrandThemeManager.swift,0
adaptiveQuality(batteryLevel:),function.method.static,internal,Sonora/Data/Services/Audio/AudioRecordingService.swift:93:36,Sonora/Data/Services/Audio/AudioRecordingService.swift,0
RecoveryAction,enum,internal,Sonora/Data/Services/Audio/AudioRecordingService.swift:496:6,Sonora/Data/Services/Audio/AudioRecordingService.swift,0
CombinedLanguageResult,struct,internal,Sonora/Data/Services/Transcription/ClientLanguageDetectionService.swift:19:8,Sonora/Data/Services/Transcription/ClientLanguageDetectionService.swift,0
combineDetectionResults(serverResponse:clientDetection:),function.free,internal,Sonora/Data/Services/Transcription/ClientLanguageDetectionService.swift:131:6,Sonora/Data/Services/Transcription/ClientLanguageDetectionService.swift,0
fromAuthorizationStatus(_:type:),function.method.static,public,Sonora/Domain/Models/EventKitError.swift:171:24,Sonora/Domain/Models/EventKitError.swift,0
DetectionQuality,enum,internal,Sonora/Domain/UseCases/EventKit/DetectEventsAndRemindersUseCase.swift:30:10,Sonora/Domain/UseCases/EventKit/DetectEventsAndRemindersUseCase.swift,0
EventReminderAnalysisType,enum,internal,Sonora/Domain/UseCases/EventKit/DetectEventsAndRemindersUseCase.swift:530:6,Sonora/Domain/UseCases/EventKit/DetectEventsAndRemindersUseCase.swift,0
DeleteAllUserDataUseCaseProtocol,protocol,internal,Sonora/Domain/UseCases/System/DeleteAllUserDataUseCase.swift:7:10,Sonora/Domain/UseCases/System/DeleteAllUserDataUseCase.swift,0
DeleteAllUserDataUseCaseProtocol,protocol,,Sonora/Domain/UseCases/System/DeleteAllUserDataUseCase.swift:12:39,Sonora/Domain/UseCases/System/DeleteAllUserDataUseCase.swift,0
GenerateAutoTitleUseCaseProtocol,protocol,internal,Sonora/Domain/UseCases/Titles/GenerateAutoTitleUseCase.swift:4:10,Sonora/Domain/UseCases/Titles/GenerateAutoTitleUseCase.swift,2
GenerateAutoTitleUseCase,class,internal,Sonora/Domain/UseCases/Titles/GenerateAutoTitleUseCase.swift:9:13,Sonora/Domain/UseCases/Titles/GenerateAutoTitleUseCase.swift,1
ChunkResult,enum,internal,Sonora/Domain/UseCases/Transcription/TranscriptionAggregator.swift:11:6,Sonora/Domain/UseCases/Transcription/TranscriptionAggregator.swift,0
CreatedArtifact,struct,private,Sonora/Features/Analysis/UI/DistillResultView.swift:140:20,Sonora/Features/Analysis/UI/DistillResultView.swift,0
AddedRecord,struct,private,Sonora/Features/Analysis/UI/DistillResultView.swift:144:20,Sonora/Features/Analysis/UI/DistillResultView.swift,0
HandledDetectionsStore,struct,private,Sonora/Features/Analysis/UI/DistillResultView.swift:150:20,Sonora/Features/Analysis/UI/DistillResultView.swift,0
announceSelectionStart(),function.method.static,internal,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift:37:17,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift,0
announceSelectionProgress(count:total:),function.method.static,internal,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift:48:17,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift,0
announceSelectionCancelled(),function.method.static,internal,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift:71:17,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift,0
selectRange(from:to:viewModel:),function.method.static,internal,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift:87:17,Sonora/Features/Memos/UI/Components/DragSelectionAccessibility.swift,0
ListStyling,enum,internal,Sonora/Features/Memos/UI/MemoListConstants.swift:43:10,Sonora/Features/Memos/UI/MemoListConstants.swift,0
Typography,enum,private,Sonora/Features/Memos/UI/MemoRowView.swift:46:18,Sonora/Features/Memos/UI/MemoRowView.swift,52
Colors,enum,private,Sonora/Features/Memos/UI/MemoRowView.swift:62:18,Sonora/Features/Memos/UI/MemoRowView.swift,1
SystemIconNames,enum,private,Sonora/Features/Memos/UI/MemoRowView.swift:272:18,Sonora/Features/Memos/UI/MemoRowView.swift,0
TranscriptionStateKey,enum,internal,Sonora/Features/Memos/UI/MemoUIConstants.swift:34:6,Sonora/Features/Memos/UI/MemoUIConstants.swift,0
MemoRowState,struct,internal,Sonora/Features/Memos/ViewModels/MemoListViewModel.swift:1051:8,Sonora/Features/Memos/ViewModels/MemoListViewModel.swift,0
AboutSupportLegalSectionView_Previews,struct,internal,Sonora/Features/Settings/UI/AboutSupportLegalSectionView.swift:98:8,Sonora/Features/Settings/UI/AboutSupportLegalSectionView.swift,0
SupportAboutSectionView,struct,internal,Sonora/Features/Settings/UI/SupportAboutSectionView.swift:3:8,Sonora/Features/Settings/UI/SupportAboutSectionView.swift,0
networkError(compact:onRetry:onDismiss:),function.method.static,internal,Sonora/Views/Components/NotificationBanner.swift:183:17,Sonora/Views/Components/NotificationBanner.swift,7
noTranscription(),function.method.static,internal,Sonora/Views/Components/UnifiedStateView.swift:218:17,Sonora/Views/Components/UnifiedStateView.swift,0
noAnalysis(),function.method.static,internal,Sonora/Views/Components/UnifiedStateView.swift:229:17,Sonora/Views/Components/UnifiedStateView.swift,0
